developer,total_features,companies_count,companies
Nyall Dawson,368,2,"Kartoza, North Road"
Vincent Cloarec,44,1,Lutra Consulting
Martin Dobias,41,1,Lutra Consulting
Matthias Kuhn,20,1,OPENGIS.ch
Peter Petrik,19,1,Lutra Consulting
Stefanos Natsis,17,1,Lutra Consulting
David Signer,14,1,OPENGIS.ch
Julien Cabieces,13,1,Oslandia
Loïc Bartoletti,11,1,Oslandia
Even Rouault,9,1,Spatialys
Nedjima Belgacem,8,1,Lutra Consulting
Alessandro Pasotti,8,1,QCooperative
Jacky Volpes,6,1,Oslandia
Jean Felder,6,1,Oslandia
Sandro Santilli,6,1,strk
Mathieu Pellerin,5,1,OPENGIS.ch
Matteo Ghetta,4,1,Faunalia
Paul Blottiere,4,2,"Hytech-imaging, Oslandia"
Etienne Trimaille,4,1,Kartoza
Samweli Mwakisambwe,4,1,Kartoza
Germán Carrillo,4,1,OPENGIS.ch
Alexander Bruy,3,2,"Lutra Consulting, QCooperative"
Denis Rouzaud,3,1,OPENGIS.ch
René-Luc D'Hont,2,1,3Liz
Muhammad Yarjuna Rohmat,2,1,Kartoza
Viktor Sklencar,1,1,Lutra Consulting
Marco Bernasocchi,1,1,OPENGIS.ch
Olivier Dalang,1,1,OPENGIS.ch
Hugo Mercier,1,1,Oslandia
